Var1;Var2;MIDist;Jaccard
24_00_0;24_m01_1;14.07672314222783;0.7568293400077726
24_00_0;24_m02_0;12.703214534915645;0.7043956858030133
24_00_0;24_m02_1;14.134006516037356;0.7581447794230518
24_00_0;24_m03_0;12.98466210243237;0.7143837083112573
24_00_0;24_m03_1;14.192873918554568;0.7595574788389112
24_00_0;24_m04_0;13.201160042678154;0.7219561575819816
24_00_0;24_m04_1;14.24778040041602;0.7609152077599536
24_00_0;24_m05_0;13.376632057411943;0.7280533990115251
24_00_0;24_m05_1;14.28464630000311;0.7617364250136142
24_00_0;24_m06_0;13.541175172129233;0.7337180752244338
24_00_0;24_m06_1;14.31525170751664;0.7623561738907353
24_00_0;24_m07_0;13.674731669894062;0.7382747617639902
24_00_0;24_m07_1;14.334648812306114;0.7626770344429615
