Basis;System;Distance;Alpha;P;Value
aug-cc-pVQZ;H;1.0;-0.6;0;0.000003245267
aug-cc-pVQZ;H;1.0;-0.7;0;0.000004439652
aug-cc-pVQZ;H;1.0;-0.8;0;0.000005611843
aug-cc-pVQZ;H;1.0;-0.9;0;0.000006638835
aug-cc-pVQZ;H;1.0;-1.0;0;0.000007418832
aug-cc-pVQZ;H;1.0;-1.1;0;0.000007886308
aug-cc-pVQZ;H;1.0;-1.2;0;0.000008018144
aug-cc-pVQZ;H;1.0;-1.3;0;0.000007831250
aug-cc-pVQZ;H;1.0;-1.4;0;0.000007373881
aug-cc-pVQZ;H;1.0;-1.5;0;0.000006713687
aug-cc-pVQZ;H;1.1;1.0;1;0.000000005414
aug-cc-pVQZ;H;1.1;0.9;1;0.000000018314
aug-cc-pVQZ;H;1.1;0.8;1;0.000000048254
aug-cc-pVQZ;H;1.1;0.7;1;0.000000081658
aug-cc-pVQZ;H;1.1;0.6;1;0.000000109736
aug-cc-pVQZ;H;1.1;0.5;1;0.000000128070
aug-cc-pVQZ;H;1.1;0.4;1;0.000000135616
aug-cc-pVQZ;H;1.1;0.3;1;0.000000133542
aug-cc-pVQZ;H;1.1;0.2;1;0.000000124159
aug-cc-pVQZ;H;1.1;0.1;1;0.000000110103
aug-cc-pVQZ;H;1.1;0.0;1;0.000000093794
aug-cc-pVQZ;H;1.1;0.0;0;0.000000000401
aug-cc-pVQZ;H;1.1;-0.1;0;0.000000036790
aug-cc-pVQZ;H;1.1;-0.2;0;0.000000187940
aug-cc-pVQZ;H;1.1;-0.3;0;0.000000512173
aug-cc-pVQZ;H;1.1;-0.4;0;0.000001044127
aug-cc-pVQZ;H;1.1;-0.5;0;0.000001780025
aug-cc-pVQZ;H;1.1;-0.6;0;0.000002673760
aug-cc-pVQZ;H;1.1;-0.7;0;0.000003644414
aug-cc-pVQZ;H;1.1;-0.8;0;0.000004592208
aug-cc-pVQZ;H;1.1;-0.9;0;0.000005417796
aug-cc-pVQZ;H;1.1;-1.0;0;0.000006039758
aug-cc-pVQZ;H;1.1;-1.1;0;0.000006406486
aug-cc-pVQZ;H;1.1;-1.2;0;0.000006500828
aug-cc-pVQZ;H;1.1;-1.3;0;0.000006337873
aug-cc-pVQZ;H;1.1;-1.4;0;0.000005957739
aug-cc-pVQZ;H;1.1;-1.5;0;0.000005415817
aug-cc-pVQZ;H;1.2;1.0;1;0.000000003018
aug-cc-pVQZ;H;1.2;0.9;1;0.000000011502
aug-cc-pVQZ;H;1.2;0.8;1;0.000000031039
aug-cc-pVQZ;H;1.2;0.7;1;0.000000052746
aug-cc-pVQZ;H;1.2;0.6;1;0.000000070897
aug-cc-pVQZ;H;1.2;0.5;1;0.000000082647
aug-cc-pVQZ;H;1.2;0.4;1;0.000000087362
aug-cc-pVQZ;H;1.2;0.3;1;0.000000085847
aug-cc-pVQZ;H;1.2;0.2;1;0.000000079635
aug-cc-pVQZ;H;1.2;0.1;1;0.000000070453
aug-cc-pVQZ;H;1.2;0.0;1;0.000000059874
aug-cc-pVQZ;H;1.2;0.0;0;0.000000000236
aug-cc-pVQZ;H;1.2;-0.1;0;0.000000027012
aug-cc-pVQZ;H;1.2;-0.2;0;0.000000136993
aug-cc-pVQZ;H;1.2;-0.3;0;0.000000370815
aug-cc-pVQZ;H;1.2;-0.4;0;0.000000751786
aug-cc-pVQZ;H;1.2;-0.5;0;0.000001275855
aug-cc-pVQZ;H;1.2;-0.6;0;0.000001909251
aug-cc-pVQZ;H;1.2;-0.7;0;0.000002594091
aug-cc-pVQZ;H;1.2;-0.8;0;0.000003259778
aug-cc-pVQZ;H;1.2;-0.9;0;0.000003836595
aug-cc-pVQZ;H;1.2;-1.0;0;0.000004267889
aug-cc-pVQZ;H;1.2;-1.1;0;0.000004518256
aug-cc-pVQZ;H;1.2;-1.2;0;0.000004576607
aug-cc-pVQZ;H;1.2;-1.3;0;0.000004454438
aug-cc-pVQZ;H;1.2;-1.4;0;0.000004180643
aug-cc-pVQZ;H;1.2;-1.5;0;0.000003794595
aug-cc-pVQZ;H;1.3;1.0;1;0.000000001462
aug-cc-pVQZ;H;1.3;0.9;1;0.000000005905
aug-cc-pVQZ;H;1.3;0.8;1;0.000000016145
aug-cc-pVQZ;H;1.3;0.7;1;0.000000027487
aug-cc-pVQZ;H;1.3;0.6;1;0.000000036933
aug-cc-pVQZ;H;1.3;0.5;1;0.000000043015
aug-cc-pVQZ;H;1.3;0.4;1;0.000000045423
aug-cc-pVQZ;H;1.3;0.3;1;0.000000044592
aug-cc-pVQZ;H;1.3;0.2;1;0.000000041332
aug-cc-pVQZ;H;1.3;0.1;1;0.000000036544
aug-cc-pVQZ;H;1.3;0.0;1;0.000000031044
aug-cc-pVQZ;H;1.3;0.0;0;0.000000000153
aug-cc-pVQZ;H;1.3;-0.1;0;0.000000017468
aug-cc-pVQZ;H;1.3;-0.2;0;0.000000087932
aug-cc-pVQZ;H;1.3;-0.3;0;0.000000236905
aug-cc-pVQZ;H;1.3;-0.4;0;0.000000478664
aug-cc-pVQZ;H;1.3;-0.5;0;0.000000810206
aug-cc-pVQZ;H;1.3;-0.6;0;0.000001209879
aug-cc-pVQZ;H;1.3;-0.7;0;0.000001641003
aug-cc-pVQZ;H;1.3;-0.8;0;0.000002059066
aug-cc-pVQZ;H;1.3;-0.9;0;0.000002420279
aug-cc-pVQZ;H;1.3;-1.0;0;0.000002689205
aug-cc-pVQZ;H;1.3;-1.1;0;0.000002843856
aug-cc-pVQZ;H;1.3;-1.2;0;0.000002877574
aug-cc-pVQZ;H;1.3;-1.3;0;0.000002797892
aug-cc-pVQZ;H;1.3;-1.4;0;0.000002623233
aug-cc-pVQZ;H;1.3;-1.5;0;0.000002378534
aug-cc-pVQZ;H;1.4;1.0;1;0.000000001523
aug-cc-pVQZ;H;1.4;0.9;1;0.000000003721
aug-cc-pVQZ;H;1.4;0.8;1;0.000000009125
aug-cc-pVQZ;H;1.4;0.7;1;0.000000015134
aug-cc-pVQZ;H;1.4;0.6;1;0.000000020117
aug-cc-pVQZ;H;1.4;0.5;1;0.000000023290
aug-cc-pVQZ;H;1.4;0.4;1;0.000000024501
aug-cc-pVQZ;H;1.4;0.3;1;0.000000023993
aug-cc-pVQZ;H;1.4;0.2;1;0.000000022204
aug-cc-pVQZ;H;1.4;0.1;1;0.000000019614
aug-cc-pVQZ;H;1.4;0.0;1;0.000000016657
aug-cc-pVQZ;H;1.4;0.0;0;0.000000000167
aug-cc-pVQZ;H;1.4;-0.1;0;0.000000011487
aug-cc-pVQZ;H;1.4;-0.2;0;0.000000057004
aug-cc-pVQZ;H;1.4;-0.3;0;0.000000152555
aug-cc-pVQZ;H;1.4;-0.4;0;0.000000306841
aug-cc-pVQZ;H;1.4;-0.5;0;0.000000517612
aug-cc-pVQZ;H;1.4;-0.6;0;0.000000770900
aug-cc-pVQZ;H;1.4;-0.7;0;0.000001043360
aug-cc-pVQZ;H;1.4;-0.8;0;0.000001306841
aug-cc-pVQZ;H;1.4;-0.9;0;0.000001533766
aug-cc-pVQZ;H;1.4;-1.0;0;0.000001701923
aug-cc-pVQZ;H;1.4;-1.1;0;0.000001797641
aug-cc-pVQZ;H;1.4;-1.2;0;0.000001816935
aug-cc-pVQZ;H;1.4;-1.3;0;0.000001764762
aug-cc-pVQZ;H;1.4;-1.4;0;0.000001652908
aug-cc-pVQZ;H;1.4;-1.5;0;0.000001497213
aug-cc-pVQZ;H;1.5;1.0;1;0.000000001826
aug-cc-pVQZ;H;1.5;0.9;1;0.000000003223
aug-cc-pVQZ;H;1.5;0.8;1;0.000000006877
aug-cc-pVQZ;H;1.5;0.7;1;0.000000010956
aug-cc-pVQZ;H;1.5;0.6;1;0.000000014319
aug-cc-pVQZ;H;1.5;0.5;1;0.000000016427
aug-cc-pVQZ;H;1.5;0.4;1;0.000000017180
aug-cc-pVQZ;H;1.5;0.3;1;0.000000016755
aug-cc-pVQZ;H;1.5;0.2;1;0.000000015458
aug-cc-pVQZ;H;1.5;0.1;1;0.000000013624
aug-cc-pVQZ;H;1.5;0.0;1;0.000000011550
aug-cc-pVQZ;H;1.5;0.0;0;0.000000000176
aug-cc-pVQZ;H;1.5;-0.1;0;0.000000008705
aug-cc-pVQZ;H;1.5;-0.2;0;0.000000042399
aug-cc-pVQZ;H;1.5;-0.3;0;0.000000112183
aug-cc-pVQZ;H;1.5;-0.4;0;0.000000223663
aug-cc-pVQZ;H;1.5;-0.5;0;0.000000374623
aug-cc-pVQZ;H;1.5;-0.6;0;0.000000554667
aug-cc-pVQZ;H;1.5;-0.7;0;0.000000747006
aug-cc-pVQZ;H;1.5;-0.8;0;0.000000931729
aug-cc-pVQZ;H;1.5;-0.9;0;0.000001089581
aug-cc-pVQZ;H;1.5;-1.0;0;0.000001205255
aug-cc-pVQZ;H;1.5;-1.1;0;0.000001269541
aug-cc-pVQZ;H;1.5;-1.2;0;0.000001280039
aug-cc-pVQZ;H;1.5;-1.3;0;0.000001240568
aug-cc-pVQZ;H;1.5;-1.4;0;0.000001159644
aug-cc-pVQZ;H;1.5;-1.5;0;0.000001048521
aug-cc-pVQZ;H;1.6;1.0;1;0.000000001469
aug-cc-pVQZ;H;1.6;0.9;1;0.000000002719
aug-cc-pVQZ;H;1.6;0.8;1;0.000000005824
aug-cc-pVQZ;H;1.6;0.7;1;0.000000009284
aug-cc-pVQZ;H;1.6;0.6;1;0.000000012146
aug-cc-pVQZ;H;1.6;0.5;1;0.000000013950
aug-cc-pVQZ;H;1.6;0.4;1;0.000000014607
aug-cc-pVQZ;H;1.6;0.3;1;0.000000014259
aug-cc-pVQZ;H;1.6;0.2;1;0.000000013165
aug-cc-pVQZ;H;1.6;0.1;1;0.000000011608
aug-cc-pVQZ;H;1.6;0.0;1;0.000000009843
aug-cc-pVQZ;H;1.6;0.0;0;0.000000000139
aug-cc-pVQZ;H;1.6;-0.1;0;0.000000007477
aug-cc-pVQZ;H;1.6;-0.2;0;0.000000035906
aug-cc-pVQZ;H;1.6;-0.3;0;0.000000093724
aug-cc-pVQZ;H;1.6;-0.4;0;0.000000184640
aug-cc-pVQZ;H;1.6;-0.5;0;0.000000306051
aug-cc-pVQZ;H;1.6;-0.6;0;0.000000449028
aug-cc-pVQZ;H;1.6;-0.7;0;0.000000599930
